orig,dest,comofflang
BDI,BDI,1.0
BDI,COM,0.0
BDI,DJI,1.0
BDI,ERI,0.0
BDI,ETH,0.0
BDI,KEN,1.0
BDI,MDG,1.0
BDI,MWI,1.0
BDI,MUS,0.0
BDI,MYT,1.0
BDI,MOZ,0.0
BDI,REU,0.0
BDI,RWA,1.0
BDI,SYC,1.0
BDI,SOM,0.0
BDI,SSD,1.0
BDI,UGA,1.0
BDI,TZA,1.0
BDI,ZMB,1.0
BDI,ZWE,1.0
BDI,AGO,0.0
BDI,CMR,1.0
BDI,CAF,1.0
BDI,TCD,1.0
BDI,COG,1.0
BDI,COD,1.0
BDI,GNQ,1.0
BDI,GAB,1.0
BDI,STP,0.0
BDI,BWA,1.0
BDI,SWZ,1.0
BDI,LSO,1.0
BDI,NAM,1.0
BDI,ZAF,1.0
BDI,BEN,1.0
BDI,BFA,1.0
BDI,CPV,0.0
BDI,CIV,1.0
BDI,GMB,1.0
BDI,GHA,1.0
BDI,GIN,1.0
BDI,GNB,0.0
BDI,LBR,1.0
BDI,MLI,1.0
BDI,MRT,0.0
BDI,NER,1.0
BDI,NGA,1.0
BDI,SEN,1.0
BDI,SLE,1.0
BDI,TGO,1.0
BDI,DZA,0.0
BDI,EGY,0.0
BDI,LBY,0.0
BDI,MAR,0.0
BDI,SDN,1.0
BDI,TUN,0.0
BDI,ESH,0.0
BDI,ARM,0.0
BDI,AZE,0.0
BDI,BHR,0.0
BDI,CYP,0.0
BDI,GEO,0.0
BDI,IRQ,0.0
BDI,ISR,0.0
BDI,JOR,0.0
BDI,KWT,0.0
BDI,LBN,0.0
BDI,OMN,0.0
BDI,QAT,0.0
BDI,SAU,0.0
BDI,PSE,0.0
BDI,SYR,0.0
BDI,TUR,0.0
BDI,ARE,0.0
BDI,YEM,0.0
BDI,KAZ,0.0
BDI,KGZ,0.0
BDI,TJK,0.0
BDI,TKM,0.0
BDI,UZB,0.0
BDI,AFG,0.0
BDI,BGD,0.0
BDI,BTN,0.0
BDI,IND,1.0
BDI,IRN,0.0
BDI,MDV,0.0
BDI,NPL,0.0
BDI,PAK,1.0
BDI,LKA,0.0
BDI,CHN,0.0
BDI,HKG,1.0
BDI,MAC,0.0
BDI,PRK,0.0
BDI,JPN,0.0
BDI,MNG,0.0
BDI,KOR,0.0
BDI,BRN,0.0
BDI,KHM,0.0
BDI,IDN,0.0
BDI,LAO,0.0
BDI,MYS,0.0
BDI,MMR,0.0
BDI,PHL,1.0
BDI,SGP,1.0
BDI,THA,0.0
BDI,TLS,0.0
BDI,VNM,0.0
BDI,ATG,1.0
BDI,ABW,0.0
BDI,BHS,1.0
BDI,BRB,1.0
BDI,CUB,0.0
BDI,CUW,0.0
BDI,DOM,0.0
BDI,GRD,1.0
BDI,GLP,0.0
BDI,HTI,1.0
BDI,JAM,1.0
BDI,MTQ,0.0
BDI,PRI,0.0
BDI,LCA,1.0
BDI,VCT,1.0
BDI,TTO,1.0
BDI,VIR,0.0
BDI,BLZ,1.0
BDI,CRI,0.0
BDI,SLV,0.0
BDI,GTM,0.0
BDI,HND,0.0
BDI,MEX,0.0
BDI,NIC,0.0
BDI,PAN,1.0
BDI,ARG,0.0
BDI,BOL,0.0
BDI,BRA,0.0
BDI,CHL,0.0
BDI,COL,0.0
BDI,ECU,0.0
