orig,dest,distance
ABW,ABW,0.0
ABW,AFG,15569.628131720447
ABW,AGO,9407.24569398545
ABW,AIA,814.2705307633804
ABW,ALB,10246.655262415594
ABW,AND,8262.731095877738
ABW,ARE,13868.629407768442
ABW,ARG,2529.2513455601065
ABW,ARM,12936.44136457567
ABW,ASM,10963.67536415037
ABW,ATG,932.8703366179403
ABW,AUS,14768.468118871102
ABW,AUT,10002.069999492405
ABW,AZE,13527.252717595438
ABW,BDI,11128.641665292744
ABW,BEL,8753.684319206863
ABW,BEN,8070.993002937413
ABW,BFA,7617.755587444672
ABW,BGD,17843.66130235483
ABW,BGR,10654.834055821444
ABW,BHR,13460.766120227552
ABW,BHS,898.6056119536319
ABW,BIH,10131.75667907369
ABW,BLR,11343.90077815722
ABW,BLZ,2084.8374037581398
ABW,BMU,1019.5690563089763
ABW,BOL,1159.3321853695552
ABW,BRA,2886.209970390307
ABW,BRB,1158.2141401487609
ABW,BRN,19381.429863758967
ABW,BTN,17760.716584765658
ABW,BWA,11072.248010405341
ABW,CAF,9873.563743377696
ABW,CAN,1225.1084741589202
ABW,CHE,9002.065522037903
ABW,CHL,1681.1077812098426
ABW,CHN,18642.480264467893
ABW,CIV,7359.585148852723
ABW,CMR,9094.370086272827
ABW,COD,9582.527678027696
ABW,COG,9578.507815216148
ABW,COK,9636.172093883411
ABW,COL,525.3025739363947
ABW,COM,12752.752779718192
ABW,CPV,5176.473589181554
ABW,CRI,1564.0852315356935
ABW,CUB,1396.6338920538408
ABW,CUW,122.69866398008672
ABW,CYM,1273.6146866460194
ABW,CYP,11644.485457134937
ABW,CZE,9830.85291958601
ABW,DEU,9777.39520620419
ABW,DJI,12587.90606442561
ABW,DMA,968.998900422881
ABW,DNK,9763.33074664732
ABW,DOM,227.6636273939622
ABW,DZA,8326.42846446905
ABW,ECU,1014.9426982521131
ABW,EGY,11351.605155392504
ABW,ERI,12121.414273172719
ABW,ESH,6402.255577766124
ABW,ESP,7650.097157015914
ABW,EST,11174.36799833412
ABW,ETH,12101.868242475575
ABW,FIN,11213.315846663989
ABW,FJI,12081.22635201618
ABW,FLK,3223.604344880209
ABW,FRA,8489.224415295781
ABW,FRO,7859.251583083328
ABW,GAB,8889.083173146872
ABW,GBR,8284.136728915175
ABW,GEO,12993.070834881968
ABW,GHA,7784.069343078812
ABW,GIB,7392.948739772023
ABW,GIN,6274.248614896739
ABW,GLP,936.3875377437627
ABW,GMB,5933.999825341033
ABW,GNB,6054.149864483807
ABW,GNQ,8791.44051549621
ABW,GRC,10624.046077388757
ABW,GRD,921.029946801586
ABW,GRL,3297.9362740308425
ABW,GTM,2280.5150928710964
ABW,GUF,2006.0022902487206
ABW,GUM,16152.316702398168
ABW,GUY,1347.9632808530866
ABW,HKG,19400.692631190057
ABW,HND,1910.9768272718898
ABW,HRV,9909.794041427314
ABW,HTI,335.0671382057899
ABW,HUN,10278.271546589182
ABW,IDN,19280.576369051403
ABW,IMN,7880.580212045064
ABW,IND,16412.627871002227
ABW,IRL,7668.2450815419115
ABW,IRN,13637.430213508824
ABW,IRQ,12839.353719043063
ABW,ISL,6319.665779963286
ABW,ISR,11809.072118583903
ABW,ITA,9451.924675780028
ABW,JAM,771.6216521034836
ABW,JOR,11891.543768400192
ABW,JPN,16454.524640373667
ABW,KAZ,15985.372178153357
ABW,KEN,11936.513648596096
ABW,KGZ,16224.23468136987
ABW,KHM,19457.380111403414
ABW,KIR,12966.490043300877
ABW,KNA,838.813285274517
ABW,KOR,17745.89481636061
ABW,KWT,13196.635175489982
ABW,LAO,19184.15592262687
ABW,LBN,11862.434359739213
ABW,LBR,6602.606699371485
ABW,LBY,9388.716867195812
ABW,LCA,1007.2949582770725
ABW,LIE,9232.468125071226
ABW,LKA,16673.66700689606
ABW,LSO,11345.510898670713
ABW,LTU,11114.68516003563
ABW,LUX,8918.083135073091
ABW,LVA,11042.029661632885
ABW,MAC,19458.783740974428
ABW,MAR,7196.1329384052015
ABW,MCO,8932.18685798046
ABW,MDA,11339.1718399148
ABW,MDG,13322.003671727281
ABW,MDV,15976.006610494072
ABW,MEX,3233.1802352911736
ABW,MHL,13179.62077941835
ABW,MKD,10435.37439933889
ABW,MLI,6899.045591239268
ABW,MLT,9576.816620083579
ABW,MMR,18473.321397888943
ABW,MNE,10205.32700419486
ABW,MNG,18751.210982115033
