scenario,iso,year,gini
SSP1,ABW,2010,0.492780875
SSP1,ABW,2015,0.489162648
SSP1,ABW,2020,0.485375261
SSP1,ABW,2025,0.479795624
SSP1,ABW,2030,0.471452389
SSP1,ABW,2035,0.460475411
SSP1,ABW,2040,0.447276735
SSP1,ABW,2045,0.432815955
SSP1,ABW,2050,0.417473654
SSP1,ABW,2055,0.403719715
SSP1,ABW,2060,0.390985726
SSP1,ABW,2065,0.379508901
SSP1,ABW,2070,0.36917804
SSP1,ABW,2075,0.359744115
SSP1,ABW,2080,0.351013789
SSP1,ABW,2085,0.342801925
SSP1,ABW,2090,0.335023363
SSP1,ABW,2095,0.32751662
SSP1,ABW,2100,0.320201907
SSP1,AFG,2010,0.338
SSP1,AFG,2015,0.333787443
SSP1,AFG,2020,0.33270999
SSP1,AFG,2025,0.331388037
SSP1,AFG,2030,0.32813117
SSP1,AFG,2035,0.318370502
SSP1,AFG,2040,0.304395423
SSP1,AFG,2045,0.290792838
SSP1,AFG,2050,0.278753453
SSP1,AFG,2055,0.268058059
SSP1,AFG,2060,0.259121629
SSP1,AFG,2065,0.251958595
SSP1,AFG,2070,0.246216483
SSP1,AFG,2075,0.241612986
SSP1,AFG,2080,0.237921971
SSP1,AFG,2085,0.234962286
SSP1,AFG,2090,0.2325888
SSP1,AFG,2095,0.230685226
SSP1,AFG,2100,0.229158384
SSP1,AGO,2010,0.4872
SSP1,AGO,2015,0.485059257
SSP1,AGO,2020,0.482386042
SSP1,AGO,2025,0.478967252
SSP1,AGO,2030,0.473930189
SSP1,AGO,2035,0.463265309
SSP1,AGO,2040,0.449044578
SSP1,AGO,2045,0.436318902
SSP1,AGO,2050,0.429313716
SSP1,AGO,2055,0.416833681
SSP1,AGO,2060,0.404246513
SSP1,AGO,2065,0.393049658
SSP1,AGO,2070,0.383481415
SSP1,AGO,2075,0.375578594
SSP1,AGO,2080,0.368881834
SSP1,AGO,2085,0.363089186
SSP1,AGO,2090,0.358034956
SSP1,AGO,2095,0.353674677
SSP1,AGO,2100,0.349746864
SSP1,ALB,2010,0.29215
SSP1,ALB,2015,0.292351188
SSP1,ALB,2020,0.294202024
SSP1,ALB,2025,0.295560217
SSP1,ALB,2030,0.296208274
SSP1,ALB,2035,0.295756987
SSP1,ALB,2040,0.294629539
SSP1,ALB,2045,0.292850169
SSP1,ALB,2050,0.29049968
SSP1,ALB,2055,0.288178843
SSP1,ALB,2060,0.285402498
SSP1,ALB,2065,0.282303826
SSP1,ALB,2070,0.278889476
SSP1,ALB,2075,0.275266814
SSP1,ALB,2080,0.271514906
SSP1,ALB,2085,0.267645745
SSP1,ALB,2090,0.263602103
SSP1,ALB,2095,0.259461798
SSP1,ALB,2100,0.255261115
SSP1,ARE,2010,0.414804506
SSP1,ARE,2015,0.410875223
SSP1,ARE,2020,0.408038502
SSP1,ARE,2025,0.404507648
SSP1,ARE,2030,0.399283204
SSP1,ARE,2035,0.391233288
SSP1,ARE,2040,0.381150201
SSP1,ARE,2045,0.370410396
SSP1,ARE,2050,0.359076062
SSP1,ARE,2055,0.347518038
SSP1,ARE,2060,0.336715724
SSP1,ARE,2065,0.32762218
SSP1,ARE,2070,0.320176193
SSP1,ARE,2075,0.314052508
SSP1,ARE,2080,0.309015368
SSP1,ARE,2085,0.304861212
SSP1,ARE,2090,0.30141568
SSP1,ARE,2095,0.29850674
SSP1,ARE,2100,0.296047253
SSP1,ARG,2010,0.4357
SSP1,ARG,2015,0.431099813
SSP1,ARG,2020,0.426226773
SSP1,ARG,2025,0.420261953
SSP1,ARG,2030,0.412682775
SSP1,ARG,2035,0.406200153
SSP1,ARG,2040,0.399924208
SSP1,ARG,2045,0.391442
SSP1,ARG,2050,0.378734648
SSP1,ARG,2055,0.365925869
SSP1,ARG,2060,0.353325248
SSP1,ARG,2065,0.342670005
SSP1,ARG,2070,0.33409286
SSP1,ARG,2075,0.327093878
SSP1,ARG,2080,0.32144756
SSP1,ARG,2085,0.31692186
SSP1,ARG,2090,0.313293302
SSP1,ARG,2095,0.31030257
SSP1,ARG,2100,0.307902891
SSP1,ARM,2010,0.3132
SSP1,ARM,2015,0.311346794
SSP1,ARM,2020,0.312895731
SSP1,ARM,2025,0.314146369
SSP1,ARM,2030,0.314930075
SSP1,ARM,2035,0.315313188
SSP1,ARM,2040,0.314516288
SSP1,ARM,2045,0.312893158
SSP1,ARM,2050,0.310512829
SSP1,ARM,2055,0.308485329
SSP1,ARM,2060,0.306230317
SSP1,ARM,2065,0.30338561
SSP1,ARM,2070,0.300202575
SSP1,ARM,2075,0.296829002
SSP1,ARM,2080,0.293356734
SSP1,ARM,2085,0.289804067
SSP1,ARM,2090,0.28634568
SSP1,ARM,2095,0.283104106
SSP1,ARM,2100,0.279936907
SSP1,AUS,2010,0.3494
SSP1,AUS,2015,0.346940746
SSP1,AUS,2020,0.347723795
SSP1,AUS,2025,0.348210735
SSP1,AUS,2030,0.348359293
SSP1,AUS,2035,0.349074805
SSP1,AUS,2040,0.348053142
SSP1,AUS,2045,0.345912324
SSP1,AUS,2050,0.342628094
SSP1,AUS,2055,0.340840894
SSP1,AUS,2060,0.33931944
SSP1,AUS,2065,0.337152395
SSP1,AUS,2070,0.334763961
SSP1,AUS,2075,0.332218923
SSP1,AUS,2080,0.329589633
SSP1,AUS,2085,0.326919977
SSP1,AUS,2090,0.324802885
SSP1,AUS,2095,0.322965748
SSP1,AUS,2100,0.321158383
SSP1,AUT,2010,0.26106634
SSP1,AUT,2015,0.26822889
SSP1,AUT,2020,0.27286419
SSP1,AUT,2025,0.27477064
SSP1,AUT,2030,0.27515633
SSP1,AUT,2035,0.27395164
SSP1,AUT,2040,0.27104109
SSP1,AUT,2045,0.26648037
SSP1,AUT,2050,0.26041508
SSP1,AUT,2055,0.25595024
SSP1,AUT,2060,0.25097748
SSP1,AUT,2065,0.24551302
SSP1,AUT,2070,0.23950748
SSP1,AUT,2075,0.23308176
SSP1,AUT,2080,0.22641579
SSP1,AUT,2085,0.21952547
SSP1,AUT,2090,0.21250906
SSP1,AUT,2095,0.20551268
SSP1,AUT,2100,0.19855623
SSP1,AZE,2010,0.1664
SSP1,AZE,2015,0.167667788
SSP1,AZE,2020,0.168959835
SSP1,AZE,2025,0.169567675
SSP1,AZE,2030,0.169414788
SSP1,AZE,2035,0.168506473
SSP1,AZE,2040,0.166814801
SSP1,AZE,2045,0.164372711
SSP1,AZE,2050,0.161157958
SSP1,AZE,2055,0.158579567
SSP1,AZE,2060,0.155785608
SSP1,AZE,2065,0.152777067
SSP1,AZE,2070,0.149549203
SSP1,AZE,2075,0.146114454
SSP1,AZE,2080,0.14252089
SSP1,AZE,2085,0.13879494
SSP1,AZE,2090,0.135066581
SSP1,AZE,2095,0.131015034
SSP1,AZE,2100,0.126725839
SSP1,BDI,2010,0.3936
SSP1,BDI,2015,0.389387443
SSP1,BDI,2020,0.38830999
SSP1,BDI,2025,0.386988037
SSP1,BDI,2030,0.38373117
SSP1,BDI,2035,0.373970502
SSP1,BDI,2040,0.359995423
SSP1,BDI,2045,0.346392838
SSP1,BDI,2050,0.334353453
SSP1,BDI,2055,0.323658059
SSP1,BDI,2060,0.314721629
SSP1,BDI,2065,0.307558595
SSP1,BDI,2070,0.301816483
SSP1,BDI,2075,0.297212986
SSP1,BDI,2080,0.293521971
SSP1,BDI,2085,0.290562286
SSP1,BDI,2090,0.2881888
SSP1,BDI,2095,0.286285226
SSP1,BDI,2100,0.284758384
SSP1,BEL,2010,0.27500149
SSP1,BEL,2015,0.27331863
SSP1,BEL,2020,0.27364017
SSP1,BEL,2025,0.27315109
SSP1,BEL,2030,0.27160015
SSP1,BEL,2035,0.26894844
SSP1,BEL,2040,0.26521208
SSP1,BEL,2045,0.26045124
SSP1,BEL,2050,0.25475349
SSP1,BEL,2055,0.24966988
SSP1,BEL,2060,0.24434057
SSP1,BEL,2065,0.23877668
SSP1,BEL,2070,0.23298145
SSP1,BEL,2075,0.22704384
SSP1,BEL,2080,0.2210531
SSP1,BEL,2085,0.21503288
SSP1,BEL,2090,0.20905178
SSP1,BEL,2095,0.20298422
SSP1,BEL,2100,0.19677328
SSP1,BEN,2010,0.4944
SSP1,BEN,2015,0.492439285
SSP1,BEN,2020,0.490038881
SSP1,BEN,2025,0.486633882
SSP1,BEN,2030,0.481478255
SSP1,BEN,2035,0.472587095
SSP1,BEN,2040,0.46109623
SSP1,BEN,2045,0.450003514
SSP1,BEN,2050,0.442052764
SSP1,BEN,2055,0.432242476
SSP1,BEN,2060,0.422583061
SSP1,BEN,2065,0.413621893
SSP1,BEN,2070,0.405533491
SSP1,BEN,2075,0.398355538
SSP1,BEN,2080,0.391814665
SSP1,BEN,2085,0.385720368
SSP1,BEN,2090,0.380001522
SSP1,BEN,2095,0.374611844
SSP1,BEN,2100,0.369391838
SSP1,BFA,2010,0.4576
SSP1,BFA,2015,0.454810864
SSP1,BFA,2020,0.451270705
SSP1,BFA,2025,0.447040304
SSP1,BFA,2030,0.441302719
SSP1,BFA,2035,0.430474239
SSP1,BFA,2040,0.416470986
SSP1,BFA,2045,0.40380306
SSP1,BFA,2050,0.396243085
SSP1,BFA,2055,0.381736801
SSP1,BFA,2060,0.366916178
SSP1,BFA,2065,0.354083971
SSP1,BFA,2070,0.343530276
SSP1,BFA,2075,0.335168624
SSP1,BFA,2080,0.328459851
SSP1,BFA,2085,0.323036743
SSP1,BFA,2090,0.318652219
SSP1,BFA,2095,0.315210535
SSP1,BFA,2100,0.312426884
SSP1,BGD,2010,0.3798
SSP1,BGD,2015,0.375587443
SSP1,BGD,2020,0.37450999
SSP1,BGD,2025,0.373188037
SSP1,BGD,2030,0.36993117
SSP1,BGD,2035,0.360170502
SSP1,BGD,2040,0.346195423
SSP1,BGD,2045,0.332592838
SSP1,BGD,2050,0.320553453
SSP1,BGD,2055,0.309858059
SSP1,BGD,2060,0.300921629
SSP1,BGD,2065,0.293758595
SSP1,BGD,2070,0.288016483
SSP1,BGD,2075,0.283412986
SSP1,BGD,2080,0.279721971
SSP1,BGD,2085,0.276762286
SSP1,BGD,2090,0.2743888
SSP1,BGD,2095,0.272485226
SSP1,BGD,2100,0.270958384
SSP1,BGR,2010,0.36457249
SSP1,BGR,2015,0.36742401
SSP1,BGR,2020,0.38080559
SSP1,BGR,2025,0.39617226
SSP1,BGR,2030,0.4086483
SSP1,BGR,2035,0.41757198
SSP1,BGR,2040,0.42209305
SSP1,BGR,2045,0.42262047
SSP1,BGR,2050,0.41981453
SSP1,BGR,2055,0.422962
SSP1,BGR,2060,0.42519497
SSP1,BGR,2065,0.42671982
SSP1,BGR,2070,0.42787098
SSP1,BGR,2075,0.4289674
SSP1,BGR,2080,0.43022652
SSP1,BGR,2085,0.43171322
SSP1,BGR,2090,0.43366455
SSP1,BGR,2095,0.43587849
SSP1,BGR,2100,0.43845249
SSP1,BHR,2010,0.414804506
SSP1,BHR,2015,0.410875223
SSP1,BHR,2020,0.408038502
SSP1,BHR,2025,0.404507648
SSP1,BHR,2030,0.399283204
SSP1,BHR,2035,0.391233288
SSP1,BHR,2040,0.381150201
SSP1,BHR,2045,0.370410396
SSP1,BHR,2050,0.359076062
SSP1,BHR,2055,0.347518038
SSP1,BHR,2060,0.336715724
SSP1,BHR,2065,0.32762218
SSP1,BHR,2070,0.320176193
SSP1,BHR,2075,0.314052508
SSP1,BHR,2080,0.309015368
SSP1,BHR,2085,0.304861212
SSP1,BHR,2090,0.30141568
SSP1,BHR,2095,0.29850674
SSP1,BHR,2100,0.296047253
SSP1,BHS,2010,0.43
SSP1,BHS,2015,0.425524555
SSP1,BHS,2020,0.42187296
SSP1,BHS,2025,0.417402246
SSP1,BHS,2030,0.411214016
SSP1,BHS,2035,0.403676496
SSP1,BHS,2040,0.394922919
SSP1,BHS,2045,0.38479294
SSP1,BHS,2050,0.372300544
SSP1,BHS,2055,0.360171867
SSP1,BHS,2060,0.348750407
SSP1,BHS,2065,0.33921898
SSP1,BHS,2070,0.331554167
SSP1,BHS,2075,0.325326068
SSP1,BHS,2080,0.32030898
SSP1,BHS,2085,0.316287234
SSP1,BHS,2090,0.313062566
SSP1,BHS,2095,0.310421689
SSP1,BHS,2100,0.308302895
SSP1,BIH,2010,0.3304
SSP1,BIH,2015,0.328168861
SSP1,BIH,2020,0.329081138
SSP1,BIH,2025,0.329705734
SSP1,BIH,2030,0.32994619
SSP1,BIH,2035,0.330635766
SSP1,BIH,2040,0.329658585
SSP1,BIH,2045,0.327570248
SSP1,BIH,2050,0.324370259
SSP1,BIH,2055,0.3227125
SSP1,BIH,2060,0.321298091
SSP1,BIH,2065,0.319302509
SSP1,BIH,2070,0.317102202
SSP1,BIH,2075,0.314752759
SSP1,BIH,2080,0.31232825
SSP1,BIH,2085,0.309873563
SSP1,BIH,2090,0.307949118
SSP1,BIH,2095,0.306296448
SSP1,BIH,2100,0.304682951
SSP1,BLR,2010,0.36966496
SSP1,BLR,2015,0.37473598
SSP1,BLR,2020,0.38221218
SSP1,BLR,2025,0.39080891
SSP1,BLR,2030,0.39790417
SSP1,BLR,2035,0.40225201
SSP1,BLR,2040,0.4025367
SSP1,BLR,2045,0.39860428
SSP1,BLR,2050,0.39081898
SSP1,BLR,2055,0.39208759
SSP1,BLR,2060,0.39232746
SSP1,BLR,2065,0.39143616
SSP1,BLR,2070,0.38964928
SSP1,BLR,2075,0.38732929
SSP1,BLR,2080,0.38476685
SSP1,BLR,2085,0.38208218
SSP1,BLR,2090,0.37955585
SSP1,BLR,2095,0.37690693
SSP1,BLR,2100,0.37441059
SSP1,BLZ,2010,0.5326
SSP1,BLZ,2015,0.530947522
SSP1,BLZ,2020,0.529014209
SSP1,BLZ,2025,0.525632822
SSP1,BLZ,2030,0.520274198
SSP1,BLZ,2035,0.514419918
SSP1,BLZ,2040,0.507603001
SSP1,BLZ,2045,0.499306162
SSP1,BLZ,2050,0.48973646
SSP1,BLZ,2055,0.484497187
SSP1,BLZ,2060,0.479850532
SSP1,BLZ,2065,0.474717201
SSP1,BLZ,2070,0.469162515
SSP1,BLZ,2075,0.463225648
SSP1,BLZ,2080,0.456951674
SSP1,BLZ,2085,0.45034091
SSP1,BLZ,2090,0.443484138
SSP1,BLZ,2095,0.436331974
SSP1,BLZ,2100,0.428899534
SSP1,BOL,2010,0.54783241
SSP1,BOL,2015,0.53912163
SSP1,BOL,2020,0.52665359
SSP1,BOL,2025,0.50703213
SSP1,BOL,2030,0.4777705
SSP1,BOL,2035,0.43903553
SSP1,BOL,2040,0.392832353
SSP1,BOL,2045,0.350028298
SSP1,BOL,2050,0.314769313
SSP1,BOL,2055,0.285725429
SSP1,BOL,2060,0.26180111
SSP1,BOL,2065,0.24209393
SSP1,BOL,2070,0.225860535
SSP1,BOL,2075,0.212488599
SSP1,BOL,2080,0.201473735
SSP1,BOL,2085,0.192400461
SSP1,BOL,2090,0.184926532
SSP1,BOL,2095,0.178770033
SSP1,BOL,2100,0.17369874
SSP1,BRA,2010,0.57863876
SSP1,BRA,2015,0.5685302
SSP1,BRA,2020,0.56705429
SSP1,BRA,2025,0.56505844
SSP1,BRA,2030,0.56216892
SSP1,BRA,2035,0.55789146
SSP1,BRA,2040,0.5514621
SSP1,BRA,2045,0.54236771
SSP1,BRA,2050,0.53036793
SSP1,BRA,2055,0.522006
SSP1,BRA,2060,0.51265137
SSP1,BRA,2065,0.50226582
SSP1,BRA,2070,0.49089809
SSP1,BRA,2075,0.47855186
SSP1,BRA,2080,0.46524773
SSP1,BRA,2085,0.45090691
SSP1,BRA,2090,0.43559845
SSP1,BRA,2095,0.41957565
SSP1,BRA,2100,0.4028487
SSP1,BRB,2010,0.47
SSP1,BRB,2015,0.46631392
SSP1,BRB,2020,0.461624741
SSP1,BRB,2025,0.455940421
SSP1,BRB,2030,0.448743676
SSP1,BRB,2035,0.440394531
SSP1,BRB,2040,0.431060259
SSP1,BRB,2045,0.42105372
SSP1,BRB,2050,0.411004858
SSP1,BRB,2055,0.396994341
SSP1,BRB,2060,0.382696694
SSP1,BRB,2065,0.370391385
SSP1,BRB,2070,0.360362832
SSP1,BRB,2075,0.352301808
SSP1,BRB,2080,0.345815233
SSP1,BRB,2085,0.34059172
SSP1,BRB,2090,0.336384262
SSP1,BRB,2095,0.333001061
SSP1,BRB,2100,0.330274567
SSP1,BRN,2010,0.453184598
SSP1,BRN,2015,0.44847948
SSP1,BRN,2020,0.444469575
SSP1,BRN,2025,0.439172323
SSP1,BRN,2030,0.431696233
SSP1,BRN,2035,0.421697101
SSP1,BRN,2040,0.409715567
SSP1,BRN,2045,0.39682918
SSP1,BRN,2050,0.384139034
SSP1,BRN,2055,0.371672717
SSP1,BRN,2060,0.359796706
SSP1,BRN,2065,0.349503614
SSP1,BRN,2070,0.340828285
SSP1,BRN,2075,0.333485358
SSP1,BRN,2080,0.327198472
SSP1,BRN,2085,0.321738578
SSP1,BRN,2090,0.316947555
SSP1,BRN,2095,0.312668954
SSP1,BRN,2100,0.308786918
SSP1,BTN,2010,0.44538
SSP1,BTN,2015,0.441172285
SSP1,BTN,2020,0.435814871
SSP1,BTN,2025,0.429284994
SSP1,BTN,2030,0.421239646
SSP1,BTN,2035,0.414332407
SSP1,BTN,2040,0.407713473
SSP1,BTN,2045,0.399254717
SSP1,BTN,2050,0.387758393
SSP1,BTN,2055,0.374036199
SSP1,BTN,2060,0.3600427
SSP1,BTN,2065,0.348043818
SSP1,BTN,2070,0.338320671
SSP1,BTN,2075,0.330434484
SSP1,BTN,2080,0.324077133
SSP1,BTN,2085,0.318969698
SSP1,BTN,2090,0.314865217
SSP1,BTN,2095,0.311516028
SSP1,BTN,2100,0.308822775
SSP1,BWA,2010,0.6646
SSP1,BWA,2015,0.662947522
SSP1,BWA,2020,0.661014209
SSP1,BWA,2025,0.657632822
SSP1,BWA,2030,0.652274198
SSP1,BWA,2035,0.646419918
SSP1,BWA,2040,0.639603001
SSP1,BWA,2045,0.631306162
SSP1,BWA,2050,0.62173646
SSP1,BWA,2055,0.616497187
SSP1,BWA,2060,0.611850532
SSP1,BWA,2065,0.606717201
SSP1,BWA,2070,0.601162515
SSP1,BWA,2075,0.595225648
SSP1,BWA,2080,0.588951674
SSP1,BWA,2085,0.58234091
SSP1,BWA,2090,0.575484138
SSP1,BWA,2095,0.568331974
SSP1,BWA,2100,0.560899534
SSP1,CAF,2010,0.6224
SSP1,CAF,2015,0.620747522
SSP1,CAF,2020,0.618814209
SSP1,CAF,2025,0.615432822
SSP1,CAF,2030,0.610074198
SSP1,CAF,2035,0.604219918
SSP1,CAF,2040,0.597403001
SSP1,CAF,2045,0.589106162
SSP1,CAF,2050,0.57953646
SSP1,CAF,2055,0.574297187
SSP1,CAF,2060,0.569650532
SSP1,CAF,2065,0.564517201
SSP1,CAF,2070,0.558962515
SSP1,CAF,2075,0.553025648
SSP1,CAF,2080,0.546751674
SSP1,CAF,2085,0.54014091
SSP1,CAF,2090,0.533284138
SSP1,CAF,2095,0.526131974
SSP1,CAF,2100,0.518699534
SSP1,CAN,2010,0.28814909
SSP1,CAN,2015,0.28223019
SSP1,CAN,2020,0.28603531
SSP1,CAN,2025,0.29065069
SSP1,CAN,2030,0.2960673
SSP1,CAN,2035,0.30169514
SSP1,CAN,2040,0.3067141
SSP1,CAN,2045,0.31086254
SSP1,CAN,2050,0.31416292
SSP1,CAN,2055,0.31771036
SSP1,CAN,2060,0.32134418
SSP1,CAN,2065,0.32506306
SSP1,CAN,2070,0.32886906
SSP1,CAN,2075,0.33280933
SSP1,CAN,2080,0.33696308
SSP1,CAN,2085,0.34142803
SSP1,CAN,2090,0.346343
SSP1,CAN,2095,0.35168053
SSP1,CAN,2100,0.35740154
SSP1,CHE,2010,0.3183
SSP1,CHE,2015,0.315745676
SSP1,CHE,2020,0.31660018
SSP1,CHE,2025,0.317147772
SSP1,CHE,2030,0.31737398
SSP1,CHE,2035,0.318022164
SSP1,CHE,2040,0.31701357
SSP1,CHE,2045,0.314963051
SSP1,CHE,2050,0.311845396
SSP1,CHE,2055,0.309831007
SSP1,CHE,2060,0.307963067
SSP1,CHE,2065,0.305388508
SSP1,CHE,2070,0.302537812
SSP1,CHE,2075,0.299511451
SSP1,CHE,2080,0.296385489
SSP1,CHE,2085,0.293195017
SSP1,CHE,2090,0.290448094
SSP1,CHE,2095,0.287972256
SSP1,CHE,2100,0.285528089
SSP1,CHL,2010,0.55181377
SSP1,CHL,2015,0.55112892
SSP1,CHL,2020,0.54839699
SSP1,CHL,2025,0.5445956
SSP1,CHL,2030,0.53874935
SSP1,CHL,2035,0.53129318
SSP1,CHL,2040,0.52264057
SSP1,CHL,2045,0.51287464
SSP1,CHL,2050,0.50216228
SSP1,CHL,2055,0.49058487
SSP1,CHL,2060,0.47812622
SSP1,CHL,2065,0.46473965
SSP1,CHL,2070,0.45045734
SSP1,CHL,2075,0.43536732
SSP1,CHL,2080,0.41948208
SSP1,CHL,2085,0.40281521
SSP1,CHL,2090,0.38546898
SSP1,CHL,2095,0.36714523
SSP1,CHL,2100,0.34798454
SSP1,CHN,2010,0.4656221
SSP1,CHN,2015,0.46056538
SSP1,CHN,2020,0.44944191
SSP1,CHN,2025,0.43676582
SSP1,CHN,2030,0.42030357
SSP1,CHN,2035,0.40210487
SSP1,CHN,2040,0.38202225
SSP1,CHN,2045,0.35999653
SSP1,CHN,2050,0.33641499
SSP1,CHN,2055,0.31161596
SSP1,CHN,2060,0.28523422
SSP1,CHN,2065,0.258008962
SSP1,CHN,2070,0.235302887
SSP1,CHN,2075,0.217370174
SSP1,CHN,2080,0.203207347
SSP1,CHN,2085,0.192021886
SSP1,CHN,2090,0.183187877
SSP1,CHN,2095,0.176210989
SSP1,CHN,2100,0.170700811
SSP1,CIV,2010,0.4918
SSP1,CIV,2015,0.489774275
SSP1,CIV,2020,0.487275355
SSP1,CIV,2025,0.483865376
SSP1,CIV,2030,0.478752564
SSP1,CIV,2035,0.469220895
SSP1,CIV,2040,0.456744245
SSP1,CIV,2045,0.445061849
SSP1,CIV,2050,0.437452552
SSP1,CIV,2055,0.426678189
SSP1,CIV,2060,0.41596153
SSP1,CIV,2065,0.40619303
SSP1,CIV,2070,0.397570241
SSP1,CIV,2075,0.390130531
SSP1,CIV,2080,0.383533365
SSP1,CIV,2085,0.377547997
SSP1,CIV,2090,0.372069151
SSP1,CIV,2095,0.3670512
SSP1,CIV,2100,0.36229782
SSP1,CMR,2010,0.4882
SSP1,CMR,2015,0.486084261
SSP1,CMR,2020,0.483448936
SSP1,CMR,2025,0.480032062
SSP1,CMR,2030,0.474978531
SSP1,CMR,2035,0.464560001
SSP1,CMR,2040,0.450718418
SSP1,CMR,2045,0.438219542
SSP1,CMR,2050,0.431083028
SSP1,CMR,2055,0.418973792
SSP1,CMR,2060,0.406793256
SSP1,CMR,2065,0.395906913
SSP1,CMR,2070,0.386544203
SSP1,CMR,2075,0.378742058
SSP1,CMR,2080,0.372066949
SSP1,CMR,2085,0.366232406
SSP1,CMR,2090,0.361085868
SSP1,CMR,2095,0.356582617
SSP1,CMR,2100,0.352475333
SSP1,COD,2010,0.4836375
SSP1,COD,2015,0.48140768
SSP1,COD,2020,0.478599481
SSP1,COD,2025,0.475173868
SSP1,COD,2030,0.470195468
SSP1,COD,2035,0.458652967
SSP1,COD,2040,0.44308152
SSP1,COD,2045,0.42954787
SSP1,COD,2050,0.423010541
SSP1,COD,2055,0.409209538
SSP1,COD,2060,0.395173742
SSP1,COD,2065,0.382870688
SSP1,COD,2070,0.372570231
SSP1,COD,2075,0.364308751
SSP1,COD,2080,0.35753486
SSP1,COD,2085,0.351891465
SSP1,COD,2090,0.347166082
SSP1,COD,2095,0.343315141
SSP1,COD,2100,0.340026695
SSP1,COG,2010,0.4616
SSP1,COG,2015,0.459275211
SSP1,COG,2020,0.456329898
SSP1,COG,2025,0.45285219
SSP1,COG,2030,0.447870009
