year,orig,dest,fe_YearCategorical
1990.0,ETH,BDI,-19.153553332116672
1990.0,KEN,BDI,-19.153553332116672
1990.0,MWI,BDI,-19.153553332116672
1990.0,MUS,BDI,-19.153553332116672
1990.0,RWA,BDI,-19.153553332116672
1990.0,UGA,BDI,-19.153553332116672
1990.0,TZA,BDI,-19.153553332116672
1990.0,ZMB,BDI,-19.153553332116672
1990.0,AGO,BDI,-19.153553332116672
1990.0,CMR,BDI,-19.153553332116672
1990.0,CAF,BDI,-19.153553332116672
1990.0,COG,BDI,-19.153553332116672
1990.0,GAB,BDI,-19.153553332116672
1990.0,NAM,BDI,-19.153553332116672
1990.0,ZAF,BDI,-19.153553332116672
1990.0,GHA,BDI,-19.153553332116672
1990.0,GIN,BDI,-19.153553332116672
1990.0,LBR,BDI,-19.153553332116672
1990.0,MLI,BDI,-19.153553332116672
1990.0,MRT,BDI,-19.153553332116672
1990.0,SEN,BDI,-19.153553332116672
1990.0,TGO,BDI,-19.153553332116672
1990.0,EGY,BDI,-19.153553332116672
1990.0,MAR,BDI,-19.153553332116672
1990.0,SDN,BDI,-19.153553332116672
1990.0,IND,BDI,-19.153553332116672
1990.0,THA,BDI,-19.153553332116672
1990.0,SLV,BDI,-19.153553332116672
1990.0,NIC,BDI,-19.153553332116672
1990.0,ARG,BDI,-19.153553332116672
1990.0,CHL,BDI,-19.153553332116672
1990.0,COL,BDI,-19.153553332116672
1990.0,PER,BDI,-19.153553332116672
1990.0,VEN,BDI,-19.153553332116672
1990.0,AUS,BDI,-19.153553332116672
1990.0,BGR,BDI,-19.153553332116672
1990.0,POL,BDI,-19.153553332116672
1990.0,ROU,BDI,-19.153553332116672
1990.0,RUS,BDI,-19.153553332116672
1990.0,DNK,BDI,-19.153553332116672
1990.0,IRL,BDI,-19.153553332116672
1990.0,NOR,BDI,-19.153553332116672
1990.0,SWE,BDI,-19.153553332116672
1990.0,GBR,BDI,-19.153553332116672
1990.0,GRC,BDI,-19.153553332116672
1990.0,ITA,BDI,-19.153553332116672
1990.0,SVN,BDI,-19.153553332116672
1990.0,ESP,BDI,-19.153553332116672
1990.0,AUT,BDI,-19.153553332116672
1990.0,BEL,BDI,-19.153553332116672
1990.0,FRA,BDI,-19.153553332116672
1990.0,DEU,BDI,-19.153553332116672
1990.0,LUX,BDI,-19.153553332116672
1990.0,NLD,BDI,-19.153553332116672
1990.0,CHE,BDI,-19.153553332116672
1990.0,CAN,BDI,-19.153553332116672
1990.0,USA,BDI,-19.153553332116672
1990.0,KEN,COM,-19.153553332116672
1990.0,MDG,COM,-19.153553332116672
1990.0,TZA,COM,-19.153553332116672
1990.0,CMR,COM,-19.153553332116672
1990.0,COG,COM,-19.153553332116672
1990.0,ZAF,COM,-19.153553332116672
1990.0,GIN,COM,-19.153553332116672
1990.0,LBR,COM,-19.153553332116672
1990.0,MLI,COM,-19.153553332116672
1990.0,SEN,COM,-19.153553332116672
1990.0,TGO,COM,-19.153553332116672
1990.0,EGY,COM,-19.153553332116672
1990.0,MAR,COM,-19.153553332116672
1990.0,IND,COM,-19.153553332116672
1990.0,THA,COM,-19.153553332116672
1990.0,CHL,COM,-19.153553332116672
1990.0,RUS,COM,-19.153553332116672
1990.0,DNK,COM,-19.153553332116672
1990.0,GBR,COM,-19.153553332116672
1990.0,ITA,COM,-19.153553332116672
1990.0,FRA,COM,-19.153553332116672
1990.0,CHE,COM,-19.153553332116672
1990.0,CAN,COM,-19.153553332116672
1990.0,ETH,DJI,-19.153553332116672
1990.0,KEN,DJI,-19.153553332116672
1990.0,TZA,DJI,-19.153553332116672
1990.0,ZAF,DJI,-19.153553332116672
1990.0,DZA,DJI,-19.153553332116672
1990.0,EGY,DJI,-19.153553332116672
1990.0,SDN,DJI,-19.153553332116672
1990.0,BHR,DJI,-19.153553332116672
1990.0,ISR,DJI,-19.153553332116672
1990.0,SAU,DJI,-19.153553332116672
1990.0,ARE,DJI,-19.153553332116672
1990.0,YEM,DJI,-19.153553332116672
1990.0,AUS,DJI,-19.153553332116672
1990.0,NZL,DJI,-19.153553332116672
1990.0,DNK,DJI,-19.153553332116672
1990.0,NOR,DJI,-19.153553332116672
1990.0,SWE,DJI,-19.153553332116672
1990.0,GBR,DJI,-19.153553332116672
1990.0,GRC,DJI,-19.153553332116672
1990.0,ITA,DJI,-19.153553332116672
1990.0,AUT,DJI,-19.153553332116672
1990.0,BEL,DJI,-19.153553332116672
1990.0,FRA,DJI,-19.153553332116672
1990.0,DEU,DJI,-19.153553332116672
1990.0,NLD,DJI,-19.153553332116672
1990.0,CHE,DJI,-19.153553332116672
1990.0,CAN,DJI,-19.153553332116672
1990.0,USA,DJI,-19.153553332116672
1990.0,BDI,ETH,-19.153553332116672
1990.0,DJI,ETH,-19.153553332116672
1990.0,KEN,ETH,-19.153553332116672
1990.0,MWI,ETH,-19.153553332116672
1990.0,RWA,ETH,-19.153553332116672
1990.0,SYC,ETH,-19.153553332116672
1990.0,UGA,ETH,-19.153553332116672
1990.0,TZA,ETH,-19.153553332116672
1990.0,ZMB,ETH,-19.153553332116672
1990.0,CAF,ETH,-19.153553332116672
1990.0,TCD,ETH,-19.153553332116672
1990.0,GAB,ETH,-19.153553332116672
1990.0,NAM,ETH,-19.153553332116672
1990.0,ZAF,ETH,-19.153553332116672
1990.0,GHA,ETH,-19.153553332116672
1990.0,DZA,ETH,-19.153553332116672
1990.0,EGY,ETH,-19.153553332116672
1990.0,SDN,ETH,-19.153553332116672
1990.0,BHR,ETH,-19.153553332116672
1990.0,CYP,ETH,-19.153553332116672
1990.0,ISR,ETH,-19.153553332116672
1990.0,JOR,ETH,-19.153553332116672
1990.0,OMN,ETH,-19.153553332116672
1990.0,SAU,ETH,-19.153553332116672
1990.0,SYR,ETH,-19.153553332116672
1990.0,TUR,ETH,-19.153553332116672
1990.0,ARE,ETH,-19.153553332116672
1990.0,YEM,ETH,-19.153553332116672
1990.0,IND,ETH,-19.153553332116672
1990.0,MYS,ETH,-19.153553332116672
1990.0,LCA,ETH,-19.153553332116672
1990.0,CRI,ETH,-19.153553332116672
1990.0,NIC,ETH,-19.153553332116672
1990.0,ARG,ETH,-19.153553332116672
1990.0,BOL,ETH,-19.153553332116672
1990.0,CHL,ETH,-19.153553332116672
1990.0,VEN,ETH,-19.153553332116672
1990.0,AUS,ETH,-19.153553332116672
1990.0,NZL,ETH,-19.153553332116672
1990.0,BLR,ETH,-19.153553332116672
1990.0,BGR,ETH,-19.153553332116672
1990.0,CZE,ETH,-19.153553332116672
1990.0,HUN,ETH,-19.153553332116672
1990.0,POL,ETH,-19.153553332116672
1990.0,RUS,ETH,-19.153553332116672
1990.0,SVK,ETH,-19.153553332116672
1990.0,DNK,ETH,-19.153553332116672
1990.0,FIN,ETH,-19.153553332116672
1990.0,ISL,ETH,-19.153553332116672
1990.0,IRL,ETH,-19.153553332116672
1990.0,NOR,ETH,-19.153553332116672
1990.0,SWE,ETH,-19.153553332116672
1990.0,GBR,ETH,-19.153553332116672
1990.0,GRC,ETH,-19.153553332116672
1990.0,ITA,ETH,-19.153553332116672
1990.0,MLT,ETH,-19.153553332116672
1990.0,PRT,ETH,-19.153553332116672
1990.0,ESP,ETH,-19.153553332116672
1990.0,AUT,ETH,-19.153553332116672
1990.0,BEL,ETH,-19.153553332116672
1990.0,FRA,ETH,-19.153553332116672
1990.0,DEU,ETH,-19.153553332116672
1990.0,NLD,ETH,-19.153553332116672
1990.0,CHE,ETH,-19.153553332116672
1990.0,CAN,ETH,-19.153553332116672
1990.0,USA,ETH,-19.153553332116672
1990.0,BDI,KEN,-19.153553332116672
1990.0,COM,KEN,-19.153553332116672
1990.0,DJI,KEN,-19.153553332116672
1990.0,ETH,KEN,-19.153553332116672
1990.0,MWI,KEN,-19.153553332116672
1990.0,MOZ,KEN,-19.153553332116672
1990.0,RWA,KEN,-19.153553332116672
1990.0,SYC,KEN,-19.153553332116672
1990.0,UGA,KEN,-19.153553332116672
1990.0,TZA,KEN,-19.153553332116672
1990.0,ZMB,KEN,-19.153553332116672
1990.0,CAF,KEN,-19.153553332116672
1990.0,TCD,KEN,-19.153553332116672
1990.0,BWA,KEN,-19.153553332116672
1990.0,LSO,KEN,-19.153553332116672
1990.0,NAM,KEN,-19.153553332116672
1990.0,ZAF,KEN,-19.153553332116672
1990.0,GHA,KEN,-19.153553332116672
1990.0,NER,KEN,-19.153553332116672
1990.0,DZA,KEN,-19.153553332116672
1990.0,EGY,KEN,-19.153553332116672
1990.0,SDN,KEN,-19.153553332116672
1990.0,BHR,KEN,-19.153553332116672
1990.0,CYP,KEN,-19.153553332116672
1990.0,ISR,KEN,-19.153553332116672
1990.0,JOR,KEN,-19.153553332116672
1990.0,LBN,KEN,-19.153553332116672
1990.0,OMN,KEN,-19.153553332116672
1990.0,SAU,KEN,-19.153553332116672
1990.0,TUR,KEN,-19.153553332116672
1990.0,ARE,KEN,-19.153553332116672
1990.0,YEM,KEN,-19.153553332116672
1990.0,IND,KEN,-19.153553332116672
1990.0,PHL,KEN,-19.153553332116672
