year,orig,dest,fe_YearCategorical
1990.0,ETH,BDI,-3.12362419201656
1990.0,KEN,BDI,-3.12362419201656
1990.0,MWI,BDI,-3.12362419201656
1990.0,MUS,BDI,-3.12362419201656
1990.0,RWA,BDI,-3.12362419201656
1990.0,UGA,BDI,-3.12362419201656
1990.0,TZA,BDI,-3.12362419201656
1990.0,ZMB,BDI,-3.12362419201656
1990.0,AGO,BDI,-3.12362419201656
1990.0,CMR,BDI,-3.12362419201656
1990.0,CAF,BDI,-3.12362419201656
1990.0,COG,BDI,-3.12362419201656
1990.0,GAB,BDI,-3.12362419201656
1990.0,NAM,BDI,-3.12362419201656
1990.0,ZAF,BDI,-3.12362419201656
1990.0,GHA,BDI,-3.12362419201656
1990.0,GIN,BDI,-3.12362419201656
1990.0,LBR,BDI,-3.12362419201656
1990.0,MLI,BDI,-3.12362419201656
1990.0,MRT,BDI,-3.12362419201656
1990.0,SEN,BDI,-3.12362419201656
1990.0,TGO,BDI,-3.12362419201656
1990.0,EGY,BDI,-3.12362419201656
1990.0,MAR,BDI,-3.12362419201656
1990.0,SDN,BDI,-3.12362419201656
1990.0,IND,BDI,-3.12362419201656
1990.0,THA,BDI,-3.12362419201656
1990.0,SLV,BDI,-3.12362419201656
1990.0,NIC,BDI,-3.12362419201656
1990.0,ARG,BDI,-3.12362419201656
1990.0,CHL,BDI,-3.12362419201656
1990.0,COL,BDI,-3.12362419201656
1990.0,PER,BDI,-3.12362419201656
1990.0,VEN,BDI,-3.12362419201656
1990.0,AUS,BDI,-3.12362419201656
1990.0,BGR,BDI,-3.12362419201656
1990.0,POL,BDI,-3.12362419201656
1990.0,ROU,BDI,-3.12362419201656
1990.0,RUS,BDI,-3.12362419201656
1990.0,DNK,BDI,-3.12362419201656
1990.0,IRL,BDI,-3.12362419201656
1990.0,NOR,BDI,-3.12362419201656
1990.0,SWE,BDI,-3.12362419201656
1990.0,GBR,BDI,-3.12362419201656
1990.0,GRC,BDI,-3.12362419201656
1990.0,ITA,BDI,-3.12362419201656
1990.0,SVN,BDI,-3.12362419201656
1990.0,ESP,BDI,-3.12362419201656
1990.0,AUT,BDI,-3.12362419201656
1990.0,BEL,BDI,-3.12362419201656
1990.0,FRA,BDI,-3.12362419201656
1990.0,DEU,BDI,-3.12362419201656
1990.0,LUX,BDI,-3.12362419201656
1990.0,NLD,BDI,-3.12362419201656
1990.0,CHE,BDI,-3.12362419201656
1990.0,CAN,BDI,-3.12362419201656
1990.0,USA,BDI,-3.12362419201656
1990.0,KEN,COM,-3.12362419201656
1990.0,MDG,COM,-3.12362419201656
1990.0,TZA,COM,-3.12362419201656
1990.0,CMR,COM,-3.12362419201656
1990.0,COG,COM,-3.12362419201656
1990.0,ZAF,COM,-3.12362419201656
1990.0,GIN,COM,-3.12362419201656
1990.0,LBR,COM,-3.12362419201656
1990.0,MLI,COM,-3.12362419201656
1990.0,SEN,COM,-3.12362419201656
1990.0,TGO,COM,-3.12362419201656
1990.0,EGY,COM,-3.12362419201656
1990.0,MAR,COM,-3.12362419201656
1990.0,IND,COM,-3.12362419201656
1990.0,THA,COM,-3.12362419201656
1990.0,CHL,COM,-3.12362419201656
1990.0,RUS,COM,-3.12362419201656
1990.0,DNK,COM,-3.12362419201656
1990.0,GBR,COM,-3.12362419201656
1990.0,ITA,COM,-3.12362419201656
1990.0,FRA,COM,-3.12362419201656
1990.0,CHE,COM,-3.12362419201656
1990.0,CAN,COM,-3.12362419201656
1990.0,ETH,DJI,-3.12362419201656
1990.0,KEN,DJI,-3.12362419201656
1990.0,TZA,DJI,-3.12362419201656
1990.0,ZAF,DJI,-3.12362419201656
1990.0,DZA,DJI,-3.12362419201656
1990.0,EGY,DJI,-3.12362419201656
1990.0,SDN,DJI,-3.12362419201656
1990.0,BHR,DJI,-3.12362419201656
1990.0,ISR,DJI,-3.12362419201656
1990.0,SAU,DJI,-3.12362419201656
1990.0,ARE,DJI,-3.12362419201656
1990.0,YEM,DJI,-3.12362419201656
1990.0,AUS,DJI,-3.12362419201656
1990.0,NZL,DJI,-3.12362419201656
1990.0,DNK,DJI,-3.12362419201656
1990.0,NOR,DJI,-3.12362419201656
1990.0,SWE,DJI,-3.12362419201656
1990.0,GBR,DJI,-3.12362419201656
1990.0,GRC,DJI,-3.12362419201656
1990.0,ITA,DJI,-3.12362419201656
1990.0,AUT,DJI,-3.12362419201656
1990.0,BEL,DJI,-3.12362419201656
1990.0,FRA,DJI,-3.12362419201656
1990.0,DEU,DJI,-3.12362419201656
1990.0,NLD,DJI,-3.12362419201656
1990.0,CHE,DJI,-3.12362419201656
1990.0,CAN,DJI,-3.12362419201656
1990.0,USA,DJI,-3.12362419201656
1990.0,BDI,ETH,-3.12362419201656
1990.0,DJI,ETH,-3.12362419201656
1990.0,KEN,ETH,-3.12362419201656
1990.0,MWI,ETH,-3.12362419201656
1990.0,RWA,ETH,-3.12362419201656
1990.0,SYC,ETH,-3.12362419201656
1990.0,UGA,ETH,-3.12362419201656
1990.0,TZA,ETH,-3.12362419201656
1990.0,ZMB,ETH,-3.12362419201656
1990.0,CAF,ETH,-3.12362419201656
1990.0,TCD,ETH,-3.12362419201656
1990.0,GAB,ETH,-3.12362419201656
1990.0,NAM,ETH,-3.12362419201656
1990.0,ZAF,ETH,-3.12362419201656
1990.0,GHA,ETH,-3.12362419201656
1990.0,DZA,ETH,-3.12362419201656
1990.0,EGY,ETH,-3.12362419201656
1990.0,SDN,ETH,-3.12362419201656
1990.0,BHR,ETH,-3.12362419201656
1990.0,CYP,ETH,-3.12362419201656
1990.0,ISR,ETH,-3.12362419201656
1990.0,JOR,ETH,-3.12362419201656
1990.0,OMN,ETH,-3.12362419201656
1990.0,SAU,ETH,-3.12362419201656
1990.0,SYR,ETH,-3.12362419201656
1990.0,TUR,ETH,-3.12362419201656
1990.0,ARE,ETH,-3.12362419201656
1990.0,YEM,ETH,-3.12362419201656
1990.0,IND,ETH,-3.12362419201656
1990.0,MYS,ETH,-3.12362419201656
1990.0,LCA,ETH,-3.12362419201656
1990.0,CRI,ETH,-3.12362419201656
1990.0,NIC,ETH,-3.12362419201656
1990.0,ARG,ETH,-3.12362419201656
1990.0,BOL,ETH,-3.12362419201656
1990.0,CHL,ETH,-3.12362419201656
1990.0,VEN,ETH,-3.12362419201656
1990.0,AUS,ETH,-3.12362419201656
1990.0,NZL,ETH,-3.12362419201656
1990.0,BLR,ETH,-3.12362419201656
1990.0,BGR,ETH,-3.12362419201656
1990.0,CZE,ETH,-3.12362419201656
1990.0,HUN,ETH,-3.12362419201656
1990.0,POL,ETH,-3.12362419201656
1990.0,RUS,ETH,-3.12362419201656
1990.0,SVK,ETH,-3.12362419201656
1990.0,DNK,ETH,-3.12362419201656
1990.0,FIN,ETH,-3.12362419201656
1990.0,ISL,ETH,-3.12362419201656
1990.0,IRL,ETH,-3.12362419201656
1990.0,NOR,ETH,-3.12362419201656
1990.0,SWE,ETH,-3.12362419201656
1990.0,GBR,ETH,-3.12362419201656
1990.0,GRC,ETH,-3.12362419201656
1990.0,ITA,ETH,-3.12362419201656
1990.0,MLT,ETH,-3.12362419201656
1990.0,PRT,ETH,-3.12362419201656
1990.0,ESP,ETH,-3.12362419201656
1990.0,AUT,ETH,-3.12362419201656
1990.0,BEL,ETH,-3.12362419201656
1990.0,FRA,ETH,-3.12362419201656
1990.0,DEU,ETH,-3.12362419201656
1990.0,NLD,ETH,-3.12362419201656
1990.0,CHE,ETH,-3.12362419201656
1990.0,CAN,ETH,-3.12362419201656
1990.0,USA,ETH,-3.12362419201656
1990.0,BDI,KEN,-3.12362419201656
1990.0,COM,KEN,-3.12362419201656
1990.0,DJI,KEN,-3.12362419201656
1990.0,ETH,KEN,-3.12362419201656
1990.0,MWI,KEN,-3.12362419201656
1990.0,MOZ,KEN,-3.12362419201656
1990.0,RWA,KEN,-3.12362419201656
1990.0,SYC,KEN,-3.12362419201656
1990.0,UGA,KEN,-3.12362419201656
1990.0,TZA,KEN,-3.12362419201656
1990.0,ZMB,KEN,-3.12362419201656
1990.0,CAF,KEN,-3.12362419201656
1990.0,TCD,KEN,-3.12362419201656
1990.0,BWA,KEN,-3.12362419201656
1990.0,LSO,KEN,-3.12362419201656
1990.0,NAM,KEN,-3.12362419201656
1990.0,ZAF,KEN,-3.12362419201656
1990.0,GHA,KEN,-3.12362419201656
1990.0,NER,KEN,-3.12362419201656
1990.0,DZA,KEN,-3.12362419201656
1990.0,EGY,KEN,-3.12362419201656
1990.0,SDN,KEN,-3.12362419201656
1990.0,BHR,KEN,-3.12362419201656
1990.0,CYP,KEN,-3.12362419201656
1990.0,ISR,KEN,-3.12362419201656
1990.0,JOR,KEN,-3.12362419201656
1990.0,LBN,KEN,-3.12362419201656
1990.0,OMN,KEN,-3.12362419201656
1990.0,SAU,KEN,-3.12362419201656
1990.0,TUR,KEN,-3.12362419201656
1990.0,ARE,KEN,-3.12362419201656
1990.0,YEM,KEN,-3.12362419201656
1990.0,IND,KEN,-3.12362419201656
1990.0,PHL,KEN,-3.12362419201656
1990.0,BHS,KEN,-3.12362419201656
1990.0,CRI,KEN,-3.12362419201656
1990.0,MEX,KEN,-3.12362419201656
1990.0,NIC,KEN,-3.12362419201656
1990.0,ARG,KEN,-3.12362419201656
1990.0,BOL,KEN,-3.12362419201656
1990.0,CHL,KEN,-3.12362419201656
1990.0,AUS,KEN,-3.12362419201656
1990.0,NZL,KEN,-3.12362419201656
1990.0,BGR,KEN,-3.12362419201656
1990.0,CZE,KEN,-3.12362419201656
1990.0,HUN,KEN,-3.12362419201656
1990.0,POL,KEN,-3.12362419201656
1990.0,RUS,KEN,-3.12362419201656
1990.0,DNK,KEN,-3.12362419201656
1990.0,FIN,KEN,-3.12362419201656
1990.0,ISL,KEN,-3.12362419201656
1990.0,IRL,KEN,-3.12362419201656
1990.0,NOR,KEN,-3.12362419201656
1990.0,SWE,KEN,-3.12362419201656
1990.0,GBR,KEN,-3.12362419201656
1990.0,GRC,KEN,-3.12362419201656
1990.0,ITA,KEN,-3.12362419201656
1990.0,MLT,KEN,-3.12362419201656
1990.0,PRT,KEN,-3.12362419201656
1990.0,SVN,KEN,-3.12362419201656
