Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0,,,,
Available at: www.wittgensteincentre.org/dataexplorer ,,,,
,,,,
,,,,
Population Size by Education (000's),,,,
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Data for 1950 to 2015: Based on <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>",,,,
Medium (SSP2),,,,
 ,,,,
Area,Year,Education,ISOCode,Population
Afghanistan,2010,Total,4,28422.5
Albania,2010,Total,8,2940.8
Algeria,2010,Total,12,36124.6
Angola,2010,Total,24,22057.1
Argentina,2010,Total,32,41223.9
Armenia,2010,Total,51,2915.5
Aruba,2010,Total,533,101.7
Australia,2010,Total,36,22156.6
Austria,2010,Total,40,8393.6
Azerbaijan,2010,Total,31,9093.4
Bahamas,2010,Total,44,360.8
Bahrain,2010,Total,48,1264.8
Bangladesh,2010,Total,50,151767.2
Belarus,2010,Total,112,9489.2
Belgium,2010,Total,56,10942.5
Belize,2010,Total,84,321.6
Benin,2010,Total,204,9414
Bhutan,2010,Total,64,727.7
Bolivia (Plurinational State of),2010,Total,68,9918.2
Bosnia and Herzegovina,2010,Total,70,3858.5
Botswana,2010,Total,72,2034.4
Brazil,2010,Total,76,197208.7
Bulgaria,2010,Total,100,7387.1
Burkina Faso,2010,Total,854,15605
Burundi,2010,Total,108,9164.9
Cambodia,2010,Total,116,14345.3
Cameroon,2010,Total,120,19974.5
Canada,2010,Total,124,34130.2
Cape Verde,2010,Total,132,502.3
Central African Republic,2010,Total,140,4448.9
Chad,2010,Total,148,11883.1
Chile,2010,Total,152,16993.3
China,2010,Total,156,1350132.3
Colombia,2010,Total,170,45916
Comoros,2010,Total,174,694.2
Congo,2010,Total,178,4182.1
Costa Rica,2010,Total,188,4545.3
Cote d'Ivoire,2010,Total,384,20265.9
Croatia,2010,Total,191,4316.5
Cuba,2010,Total,192,11332.3
Curaçao,2010,Total,531,147.6
Cyprus,2010,Total,196,1106
Czech Republic,2010,Total,203,10509.5
Democratic People's Republic of Korea,2010,Total,408,24547.4
Democratic Republic of the Congo,2010,Total,180,65069.4
Denmark,2010,Total,208,5551
Dominican Republic,2010,Total,214,9898
Ecuador,2010,Total,218,14934.7
Egypt,2010,Total,818,84112.7
El Salvador,2010,Total,222,6164.7
Equatorial Guinea,2010,Total,226,951.1
Estonia,2010,Total,233,1332.1
Ethiopia,2010,Total,231,87708.5
Fiji,2010,Total,242,859.8
Finland,2010,Total,246,5368.2
France,2010,Total,250,62944.3
French Guiana,2010,Total,254,234.2
French Polynesia,2010,Total,258,267.8
Gabon,2010,Total,266,1564.5
Gambia,2010,Total,270,1690.8
Georgia,2010,Total,268,4293.3
Germany,2010,Total,276,80531.4
Ghana,2010,Total,288,24512.6
Greece,2010,Total,300,11250.8
Guadeloupe,2010,Total,312,451.8
Guatemala,2010,Total,320,14631.1
Guinea,2010,Total,324,10935.2
Guinea-Bissau,2010,Total,624,1614.6
Guyana,2010,Total,328,746.4
Haiti,2010,Total,332,10001.2
Honduras,2010,Total,340,7814.3
Hong Kong Special Administrative Region of China,2010,Total,344,6988.6
Hungary,2010,Total,348,10023.4
Iceland,2010,Total,352,318.1
India,2010,Total,356,1230954.9
Indonesia,2010,Total,360,242076.3
Iran (Islamic Republic of),2010,Total,364,74327.1
Iraq,2010,Total,368,30771.9
Ireland,2010,Total,372,4618.8
Israel,2010,Total,376,7426.2
Italy,2010,Total,380,59601.7
Jamaica,2010,Total,388,2817.2
Japan,2010,Total,392,127566.8
Jordan,2010,Total,400,6784.1
Kazakhstan,2010,Total,398,16309
Kenya,2010,Total,404,41024.6
Kiribati,2010,Total,296,102.6
Kuwait,2010,Total,414,3034.1
Kyrgyzstan,2010,Total,417,5448.1
Lao People's Democratic Republic,2010,Total,418,6246.7
Latvia,2010,Total,428,2093.1
Lebanon,2010,Total,422,4337.1
Lesotho,2010,Total,426,2013.4
Liberia,2010,Total,430,3953.7
Lithuania,2010,Total,440,3122.9
Luxembourg,2010,Total,442,507.9
Macao Special Administrative Region of China,2010,Total,446,535
Madagascar,2010,Total,450,21134.9
Malawi,2010,Total,454,14957.4
Malaysia,2010,Total,458,28112.3
Maldives,2010,Total,462,364.6
Mali,2010,Total,466,15182.6
Malta,2010,Total,470,408
Martinique,2010,Total,474,394.9
Mauritius,2010,Total,480,1248
Mexico,2010,Total,484,118025.7
Micronesia (Federated States of),2010,Total,583,103.6
Mongolia,2010,Total,496,2712.7
Montenegro,2010,Total,499,619.1
