origin,destination,phi
NAM,AGO,0.2250208333333333
BGD,ARE,0.024196874999999993
EGY,ARE,0.030646250000000007
IDN,ARE,0.061684375000000014
IND,ARE,0.02635350877192982
JOR,ARE,0.04297500000000001
LKA,ARE,0.03255138888888891
NPL,ARE,0.03120416666666664
PAK,ARE,0.026926056338028154
PHL,ARE,0.0313263888888889
SDN,ARE,0.013949999999999995
SSD,ARE,0.042129999999999994
YEM,ARE,0.04012400000000001
CHN,AUS,0.06939620253164555
FJI,AUS,0.08012661290322586
IDN,AUS,0.06031428571428571
IND,AUS,0.048251388888888885
LBN,AUS,0.1005810344827586
LKA,AUS,0.05766400000000002
MYS,AUS,0.09705384615384614
PAK,AUS,0.05043174603174601
PHL,AUS,0.040901712328767124
SOM,AUS,0.10498999999999999
THA,AUS,0.08838611111111111
TON,AUS,0.09099590163934429
VNM,AUS,0.06501420454545456
VUT,AUS,0.15120288461538453
WSM,AUS,0.10398018867924527
ZWE,AUS,0.09471714285714285
BIH,AUT,0.05302884615384615
HRV,AUT,0.0546948717948718
HUN,AUT,0.06478999999999999
KSV,AUT,0.05655
SRB,AUT,0.06477608695652175
TUR,AUT,0.056892
COD,BEL,0.07949605263157897
DZA,BEL,0.0773478260869565
MAR,BEL,0.044130188679245286
TUR,BEL,0.072275
EGY,BHR,0.06363750000000001
IND,BHR,0.025183928571428565
PAK,BHR,0.022971428571428566
BOL,BRA,0.042236111111111106
PER,BRA,0.05050340909090909
PRY,BRA,0.047552777777777784
CHN,CAN,0.05747878787878787
GHA,CAN,0.07622083333333332
GUY,CAN,0.09536153846153844
HTI,CAN,0.08230937500000002
IND,CAN,0.0466168831168831
JAM,CAN,0.08086944444444445
KEN,CAN,0.07690119047619047
LBN,CAN,0.08947592592592592
LKA,CAN,0.0498851851851852
NGA,CAN,0.057896874999999993
PAK,CAN,0.03635416666666666
PHL,CAN,0.03656904761904761
RWA,CAN,0.079103125
VNM,CAN,0.057891666666666675
ZWE,CAN,0.08327413793103448
ALB,CHE,0.1009232142857143
HUN,CHE,0.08622884615384616
KSV,CHE,0.0646037037037037
LKA,CHE,0.08151
SRB,CHE,0.12773
PER,CHL,0.03938536585365854
MLI,CIV,0.028709375000000002
NGA,CMR,0.09133749999999999
NIC,CRI,0.0315625
UKR,CZE,0.07308023255813956
VNM,CZE,0.0803321428571429
AFG,DEU,0.10111875000000001
ALB,DEU,0.062965
BGR,DEU,0.049848837209302325
BIH,DEU,0.05749117647058823
CHN,DEU,0.08859888888888888
GHA,DEU,0.08798958333333333
HRV,DEU,0.0550981818181818
HUN,DEU,0.06613000000000001
IND,DEU,0.06904999999999999
KGZ,DEU,0.06813548387096774
KSV,DEU,0.05202708333333333
LBN,DEU,0.10333604651162791
MAR,DEU,0.07709083333333332
MDA,DEU,0.07721612903225808
MKD,DEU,0.06790208333333334
NGA,DEU,0.06357777777777777
ROU,DEU,0.03794999999999999
SRB,DEU,0.0659375
TGO,DEU,0.05763875
THA,DEU,0.09461129032258064
TJK,DEU,0.06597205882352943
TUR,DEU,0.05351690140845072
UKR,DEU,0.06236363636363637
VNM,DEU,0.08028292682926827
HTI,DOM,0.08349374999999998
BGR,ESP,0.036678947368421054
BOL,ESP,0.04279358974358975
BRA,ESP,0.04584651162790696
CHN,ESP,0.1313076923076923
COL,ESP,0.05067021276595744
DOM,ESP,0.04138225806451613
ECU,ESP,0.037633333333333324
HND,ESP,0.03672903225806452
MAR,ESP,0.051528
NGA,ESP,0.05378285714285714
PER,ESP,0.04022999999999999
PHL,ESP,0.045269565217391304
ROU,ESP,0.03574883720930232
CHN,FRA,0.07456547619047618
CIV,FRA,0.047690566037735846
CMR,FRA,0.03981944444444444
COM,FRA,0.043407692307692314
DZA,FRA,0.07594259259259262
HTI,FRA,0.07925641025641025
IND,FRA,0.057016363636363636
LBN,FRA,0.07594473684210527
MAR,FRA,0.04682025316455694
MDG,FRA,0.07770208333333334
MLI,FRA,0.047964473684210536
SEN,FRA,0.04371634615384616
SRB,FRA,0.06904772727272727
TGO,FRA,0.04883815789473685
TUN,FRA,0.065559375
VNM,FRA,0.06989880952380954
AFG,GBR,0.09187500000000001
ALB,GBR,0.08434285714285714
BGD,GBR,0.0408
BGR,GBR,0.07619596774193547
BRA,GBR,0.049529365079365055
CHN,GBR,0.06751063829787235
ERI,GBR,0.11928043478260868
ETH,GBR,0.08814375
GHA,GBR,0.06291736111111114
GMB,GBR,0.09208624999999998
IND,GBR,0.03340350877192982
JAM,GBR,0.07365750000000001
KEN,GBR,0.0516586956521739
LBN,GBR,0.12164583333333338
LKA,GBR,0.04088260869565217
LTU,GBR,0.06072454545454546
