origin,destination,rho
ABW,ABW,0.0
ABW,AFG,0.0
ABW,AGO,0.0
ABW,ALB,0.0
ABW,AND,0.0
ABW,ARE,0.0
ABW,ARG,0.0
ABW,ARM,0.0
ABW,ASM,0.0
ABW,ATG,0.0
ABW,AUS,0.0
ABW,AUT,0.0
ABW,AZE,0.0
ABW,BDI,0.0
ABW,BEL,0.0
ABW,BEN,0.0
ABW,BFA,0.0
ABW,BGD,0.0
ABW,BGR,0.0
ABW,BHR,0.0
ABW,BHS,0.0
ABW,BIH,0.0
ABW,BLR,0.0
ABW,BLZ,0.0
ABW,BMU,0.0
ABW,BOL,0.0
ABW,BRA,0.0
ABW,BRB,0.0
ABW,BRN,0.0
ABW,BTN,0.0
ABW,BWA,0.0
ABW,CAF,0.0
ABW,CAN,0.0
ABW,CHE,0.0
ABW,CHI,0.0
ABW,CHL,0.0
ABW,CHN,0.0
ABW,CIV,0.0
ABW,CMR,0.0
ABW,COD,0.0
ABW,COG,0.0
ABW,COL,0.0
ABW,COM,0.0
ABW,CPV,0.0
ABW,CRI,0.0
ABW,CUB,0.0
ABW,CUW,0.0
ABW,CYM,0.0
ABW,CYP,0.0
ABW,CZE,0.0
ABW,DEU,0.0
ABW,DJI,0.0
ABW,DMA,0.0
ABW,DNK,0.0
ABW,DOM,0.0
ABW,DZA,0.0
ABW,ECU,0.0
ABW,EGY,0.0
ABW,ERI,0.0
ABW,ESP,0.0
ABW,EST,0.0
ABW,ETH,0.0
ABW,FIN,0.0
ABW,FJI,0.0
ABW,FRA,0.0
ABW,FSM,0.0
ABW,GAB,0.0
ABW,GBR,0.0
ABW,GEO,0.0
ABW,GHA,0.0
ABW,GIN,0.0
ABW,GMB,0.0
ABW,GNB,0.0
ABW,GNQ,0.0
ABW,GRC,0.0
ABW,GRD,0.0
ABW,GRL,0.0
ABW,GTM,0.0
ABW,GUM,0.0
ABW,GUY,0.0
ABW,HKG,0.0
ABW,HND,0.0
ABW,HRV,0.0
ABW,HTI,0.0
ABW,HUN,0.0
ABW,IDN,0.0
ABW,IMN,0.0
ABW,IND,0.0
ABW,IRL,0.0
ABW,IRN,0.0
ABW,IRQ,0.0
ABW,ISL,0.0
ABW,ISR,0.0
ABW,ITA,0.0
ABW,JAM,0.0
ABW,JOR,0.0
ABW,JPN,0.0
ABW,KAZ,0.0
ABW,KEN,0.0
ABW,KGZ,0.0
ABW,KHM,0.0
ABW,KIR,0.0
ABW,KNA,0.0
ABW,KOR,0.0
ABW,KWT,0.0
ABW,LAO,0.0
ABW,LBN,0.0
ABW,LBR,0.0
ABW,LBY,0.0
ABW,LCA,0.0
ABW,LIE,0.0
ABW,LKA,0.0
ABW,LSO,0.0
ABW,LTU,0.0
ABW,LUX,0.0
ABW,LVA,0.0
ABW,MAC,0.0
ABW,MAF,0.0
ABW,MAR,0.0
ABW,MCO,0.0
ABW,MDA,0.0
ABW,MDG,0.0
ABW,MDV,0.0
ABW,MEX,0.0
ABW,MHL,0.0
ABW,MKD,0.0
ABW,MLI,0.0
ABW,MLT,0.0
ABW,MMR,0.0
ABW,MNE,0.0
ABW,MNG,0.0
ABW,MNP,0.0
ABW,MOZ,0.0
ABW,MRT,0.0
ABW,MUS,0.0
ABW,MWI,0.0
ABW,MYS,0.0
ABW,NAM,0.0
ABW,NCL,0.0
ABW,NER,0.0
ABW,NGA,0.0
ABW,NIC,0.0
ABW,NLD,0.0
ABW,NOR,0.0
ABW,NPL,0.0
ABW,NZL,0.0
ABW,OMN,0.0
ABW,PAK,0.0
ABW,PAN,0.0
ABW,PER,0.0
ABW,PHL,0.0
ABW,PLW,0.0
ABW,PNG,0.0
ABW,POL,0.0
ABW,PRI,0.0
ABW,PRK,0.0
ABW,PRT,0.0
ABW,PRY,0.0
ABW,PSE,0.0
ABW,PYF,0.0
ABW,QAT,0.0
ABW,ROU,0.0
ABW,RUS,0.0
ABW,RWA,0.0
ABW,SAU,0.0
ABW,SDN,0.0
ABW,SEN,0.0
ABW,SGP,0.0
ABW,SLB,0.0
ABW,SLE,0.0
ABW,SLV,0.0
ABW,SMR,0.0
ABW,SOM,0.0
ABW,SRB,0.0
ABW,SSD,0.0
ABW,STP,0.0
ABW,SUR,0.0
ABW,SVK,0.0
ABW,SVN,0.0
ABW,SWE,0.0
ABW,SXM,0.0
ABW,SYC,0.0
ABW,SYR,0.0
ABW,TCA,0.0
ABW,TCD,0.0
ABW,TGO,0.0
ABW,THA,0.0
ABW,TJK,0.0
ABW,TKM,0.0
ABW,TLS,0.0
ABW,TON,0.0
ABW,TTO,0.0
ABW,TUN,0.0
ABW,TUR,0.0
ABW,TUV,0.0
ABW,TZA,0.0
ABW,UGA,0.0
ABW,UKR,0.0
ABW,URY,0.0
ABW,USA,0.0
ABW,UZB,0.0
ABW,VCT,0.0
ABW,VEN,0.0
ABW,VIR,0.0
ABW,VNM,0.0
ABW,VUT,0.0
ABW,WSM,0.0
ABW,XKX,0.0
ABW,YEM,0.0
ABW,ZAF,0.0
ABW,ZMB,0.0
ABW,ZWE,0.0
AFG,ABW,0.0
AFG,AFG,0.0
AFG,AGO,0.0
AFG,ALB,0.0
AFG,AND,0.0
AFG,ARE,0.006464619542371327
AFG,ARG,0.010344835780457272
AFG,ARM,0.0
